date,open,high,low,close,volume
2024-01-02,148.50,151.20,147.80,150.25,8234500
2024-01-03,150.00,152.50,149.10,151.80,9100200
2024-01-04,151.50,153.80,150.40,152.30,7856300
2024-01-05,152.00,154.10,150.90,151.60,8912400
2024-01-08,151.80,153.20,150.20,152.90,7234100
2024-01-09,152.60,155.00,151.80,154.20,10234500
2024-01-10,154.00,156.50,153.10,155.80,11567800
2024-01-11,155.50,157.80,154.60,156.40,9823400
2024-01-12,156.20,158.90,155.30,157.90,8934500
2024-01-16,157.50,160.20,156.80,159.30,9456700
2024-01-17,159.00,161.50,158.20,160.80,10234500
2024-01-18,160.50,162.80,159.40,161.20,8765400
2024-01-19,161.00,163.50,159.80,162.70,9123400
2024-01-22,163.20,165.50,162.10,164.80,7834500
2024-01-23,164.50,166.80,163.20,165.30,8234500
2024-01-24,165.00,167.20,163.80,164.90,9456700
2024-01-25,164.70,166.50,163.40,166.10,10234500
2024-01-26,165.80,168.20,164.90,167.40,8923400
2024-01-29,167.00,169.50,165.80,168.90,9234500
2024-01-30,168.50,170.80,167.20,169.40,8456700
2024-01-31,169.20,171.50,168.10,170.80,11234500
2024-02-01,170.50,172.80,169.40,171.20,9823400
2024-02-02,171.00,173.50,169.80,172.60,8567800
2024-02-05,172.30,174.80,171.10,173.90,9123400
2024-02-06,173.50,176.20,172.40,175.30,10456700
2024-02-07,175.00,177.50,173.80,174.60,8923400
2024-02-08,174.80,176.50,173.20,175.90,7834500
2024-02-09,175.50,178.20,174.30,177.40,9234500
2024-02-12,177.00,179.50,175.80,178.20,8456700
2024-02-13,178.00,180.50,176.90,179.60,9823400
2024-02-14,179.30,182.00,178.10,181.20,11234500
2024-02-15,181.00,183.50,179.80,180.50,9567800
2024-02-16,180.80,182.50,179.10,181.90,8234500
2024-02-20,181.50,184.20,180.30,183.40,9456700
2024-02-21,183.00,185.80,181.90,184.60,10234500
2024-02-22,184.30,186.50,183.10,185.80,9123400
2024-02-23,185.50,188.20,184.30,187.10,8567800
2024-02-26,186.80,189.50,185.60,188.30,9234500
2024-02-27,188.00,190.80,186.90,189.50,8923400
2024-02-28,189.20,191.50,187.80,190.20,11456700
2024-02-29,190.00,192.80,188.90,191.60,10234500
2024-03-01,191.30,193.50,189.90,192.40,9123400
2024-03-04,192.00,193.80,187.50,188.90,14234500
2024-03-05,188.50,190.80,185.20,186.30,15456700
2024-03-06,186.00,188.50,183.80,185.10,12234500
2024-03-07,185.00,187.20,182.50,184.60,11234500
2024-03-08,184.50,187.80,183.20,186.40,10123400
2024-03-11,186.00,189.50,185.20,188.70,9456700
2024-03-12,188.30,191.50,187.10,190.40,9234500
2024-03-13,190.00,193.20,188.80,192.10,9123400
2024-03-14,191.50,194.80,190.20,193.80,8823400
2024-03-15,193.50,196.20,192.10,195.30,9567800
